,organization name,address1,city,state,zip,servicesummary,hours,website
3406,Community C.A.R.E.S.,50 W Penn St,Carlisle,PA,17013.0,Emergency Shelter,Monday: 7:00AM–9:00PM Tuesday: 7:00AM–9:00PM Wednesday: 7:00AM–9:00PM Thursday: 7:00AM–9:00PM Friday: 7:00AM–9:00PM Saturday: 7:00AM–9:00PM Sunday: 7:00AM–9:00PM ,http://www.morethanshelter.org/
3407,Community Care Alliance,196 Burnside Ave,Woonsocket,RI,2895.0,Permanent Supportive Housing,,
3408,Community Care Alliance,245 Main St,Woonsocket,RI,2895.0,Emergency Shelter,"Monday: 8:30–11:30AM, 1:00–4:00PM Tuesday: 8:30AM–11:30PM Wednesday: 8:30–11:30AM, 1:00–4:00PM Thursday: 1:00–5:00PM Friday: 8:30–11:30AM, 1:00–4:00PM Saturday: Closed Sunday: Closed ",http://communitycareri.org/basic
3409,Community Care Alliance,55 Main St,Woonsocket,RI,2895.0,Permanent Supportive Housing,"Monday: 8:30–11:30AM, 1:00–4:00PM Tuesday: 8:30AM–11:30PM Wednesday: 8:30–11:30AM, 1:00–4:00PM Thursday: 1:00–5:00PM Friday: 8:30–11:30AM, 1:00–4:00PM Saturday: Closed Sunday: Closed ",http://communitycareri.org/basic
3410,Community Care Alliance,800 Clinton Street,Woonsocket,RI,2895.0,Rapid Re-Housing,Monday: 8:30AM–4:30PM Tuesday: 8:30AM–4:30PM Wednesday: 8:30AM–4:30PM Thursday: 8:30AM–4:30PM Friday: 8:30AM–4:30PM Saturday: Closed Sunday: Closed ,http://www.communitycareri.org/
3411,Community Care Alliance,,,RI,2895.0,"Permanent Supportive Housing, Rapid Re-Housing",,
3412,Community Care Network,7400 Fountainbleau,Ocean Springs,MS,39564.0,Rapid Re-Housing,,http://www.ccnms.org/
3413,Community Care Network,7400 Fountainbleau Rd,Ocean Springs,MS,39564.0,Rapid Re-Housing,,http://www.ccnms.org/
3414,Community Care Network,7400 Fountainbleu Drive,Ocean Springs,MS,39564.0,Transitional Housing,,http://www.ccnms.org/
3415,Community Catalyst of California,354 E Main Street,El Centro,CA,92243.0,Rapid Re-Housing,Monday: 8:30AM–5:00PM Tuesday: 8:30AM–5:00PM Wednesday: 8:30AM–5:00PM Thursday: 8:30AM–5:00PM Friday: 8:30AM–5:00PM Saturday: Closed Sunday: Closed ,
3416,Community Children's Shelter,15 Monroe St Ne,Ardmore,OK,73401.0,Emergency Shelter,,
3417,Community Christian Concern,2505 Carey St,Slidell,LA,70458.0,Transitional Housing,,https://www.cccslidell.org/
3418,Community Church - Richland County,265 N Church St,Richland Ctr,WI,53581.0,Emergency Shelter,,
3419,Community Church - Richland County,405 S Park St,Richland Ctr,WI,53581.0,Emergency Shelter,,
3420,"Community Concerns, Inc.",605 Spencer St Nw,Atlanta,GA,30314.0,Other Permanent Housing,Monday: 10:00AM–5:00PM Tuesday: 10:00AM–5:00PM Wednesday: 10:00AM–5:00PM Thursday: 10:00AM–5:00PM Friday: 10:00AM–5:00PM Saturday: Closed Sunday: Closed ,http://www.communityconcernsinc.com/
3421,Community Connection of Northeast Oregon (3373) [ROCC],142 Ne Dayton St,John Day,OR,97845.0,Rapid Re-Housing,,
3422,Community Connection of Northeast Oregon (3373) [ROCC],2802 Adams Avenue,La Grande,OR,97850.0,Rapid Re-Housing,"Monday: 8:00AM–12:00PM, 1:00–5:00PM Tuesday: 8:00AM–12:00PM, 1:00–5:00PM Wednesday: 8:00AM–12:00PM, 1:00–5:00PM Thursday: 8:00AM–12:00PM, 1:00–5:00PM Friday: 8:00AM–12:00PM, 1:00–5:00PM Saturday: Closed Sunday: Closed ",https://ccno.org/
3423,Community Connection of Northeast Oregon (3373) [ROCC],2810 Cedar Street,Baker City,OR,97814.0,Rapid Re-Housing,,
3424,Community Connection of Northeast Oregon (3373) [ROCC],702 Nw First Street,Enterprise,OR,97828.0,Rapid Re-Housing,,
3425,Community Connections,1005 North Capitol St Ne,Washington,DC,20002.0,Permanent Supportive Housing,Monday: 8:00AM–5:00PM Tuesday: 8:00AM–5:00PM Wednesday: 8:00AM–5:00PM Thursday: 8:00AM–5:00PM Friday: 8:00AM–5:00PM Saturday: Closed Sunday: Closed ,http://www.kerconwayapts.com/
3426,Community Connections,1164 Bladensburg Road Northeast,Washington,DC,20002.0,Permanent Supportive Housing,,https://www.eleven64.com/
3427,Community Connections,1322 Main Dr Nw,Washington,DC,20012.0,Permanent Supportive Housing,Monday: 9:00AM–5:00PM Tuesday: 9:00AM–5:00PM Wednesday: 9:00AM–5:00PM Thursday: 9:00AM–5:00PM Friday: 9:00AM–5:00PM Saturday: Closed Sunday: Closed ,https://abramshalldc.com/
3428,Community Connections,1400 Florida Ave Ne,Washington,DC,20002.0,Permanent Supportive Housing,,
3429,Community Connections,1736 Rhode Island Ave Ne,Washington,DC,20018.0,Permanent Supportive Housing,Monday: 9:00AM–5:00PM Tuesday: 9:00AM–5:00PM Wednesday: 9:00AM–5:00PM Thursday: 9:00AM–5:00PM Friday: 9:00AM–5:00PM Saturday: Closed Sunday: Closed ,https://www.millsplaceapts.com/
3430,Community Connections,2619 Bladensburg Road Ne,Washington,DC,20018.0,Permanent Supportive Housing,,
3431,Community Connections,3534 East Capital St N.E.,Washington,DC,20019.0,Permanent Supportive Housing,,
3432,Community Connections,5422 Blair Rd Ne,Washington,DC,20011.0,Permanent Supportive Housing,,
3433,Community Connections,555 E Street Sw,Washington,DC,20024.0,Permanent Supportive Housing,,
3434,Community Connections,801 E Pennsylvania Ave Se,Washington,DC,20003.0,Transitional Housing,Monday: 8:00AM–5:00PM Tuesday: 8:00AM–5:00PM Wednesday: 8:00AM–5:00PM Thursday: 8:00AM–5:00PM Friday: 8:00AM–5:00PM Saturday: Closed Sunday: Closed ,http://www.communityconnectionsdc.org/
3435,Community Connections,801 Pennsylvania Ave.,Washington,DC,20003.0,Permanent Supportive Housing,Monday: 8:00AM–5:00PM Tuesday: 8:00AM–5:00PM Wednesday: 8:00AM–5:00PM Thursday: 8:00AM–5:00PM Friday: 8:00AM–5:00PM Saturday: Closed Sunday: Closed ,http://www.communityconnectionsdc.org/
3436,Community Connections,,,DC,20003.0,"Transitional Housing, Rapid Re-Housing, Permanent Supportive Housing",Monday: 8:00AM–5:00PM Tuesday: 8:00AM–5:00PM Wednesday: 8:00AM–5:00PM Thursday: 8:00AM–5:00PM Friday: 8:00AM–5:00PM Saturday: Closed Sunday: Closed ,http://www.communityconnectionsdc.org/
3437,Community Connections of Clearfield/Jefferson Counties (CCC-J),375 Beaver Drive,Dubois,PA,15801.0,Permanent Supportive Housing,,
3438,Community Counseling Center of Mercer County,12 Avalon Court,Mercer,PA,16137.0,Emergency Shelter,,
3439,Community Counseling Center of Mercer County,2201 E State St,Hermitage,PA,16148.0,Emergency Shelter,Monday: 8:00AM–5:00PM Tuesday: 8:00AM–5:00PM Wednesday: 8:00AM–5:00PM Thursday: 8:00AM–5:00PM Friday: 8:00AM–5:00PM Saturday: Closed Sunday: Closed ,http://www.cccmer.org/
3440,Community Counseling and Mediation,226 Linden Boulevard,Brooklyn,NY,11226.0,Permanent Supportive Housing,,https://ccmnyc.org/
3441,Community Counseling and Mediation,691 Prospect Ave,Brooklyn,NY,11216.0,Permanent Supportive Housing,Monday: Open 24 hours Tuesday: Open 24 hours Wednesday: Open 24 hours Thursday: Open 24 hours Friday: Open 24 hours Saturday: Open 24 hours Sunday: Open 24 hours ,
3442,Community Counseling and Mediation,804 Classon Ave.,Brooklyn,NY,11238.0,Permanent Supportive Housing,Monday: 9:00AM–5:00PM Tuesday: 9:00AM–5:00PM Wednesday: 9:00AM–5:00PM Thursday: 9:00AM–5:00PM Friday: 9:00AM–5:00PM Saturday: Closed Sunday: Closed ,https://ccmnyc.org/
3443,Community Counseling of Bristol County,314 Somerset Ave,Taunton,MA,2780.0,Transitional Housing,,
3444,Community Counseling of Bristol County,,,MA,2780.0,Permanent Supportive Housing,,
3445,Community Crisis Center,37 S Geneva St,Elgin,IL,60120.0,Emergency Shelter,Monday: 9:00AM–8:00PM Tuesday: 9:00AM–8:00PM Wednesday: 9:00AM–8:00PM Thursday: 9:00AM–8:00PM Friday: 9:00AM–8:00PM Saturday: 9:00AM–8:00PM Sunday: 9:00AM–8:00PM ,http://crisiscenter.org/
3446,Community Crisis Center,704 N. 30Th Street,Billings,MT,59101.0,Emergency Shelter,Monday: Open 24 hours Tuesday: Open 24 hours Wednesday: Open 24 hours Thursday: Open 24 hours Friday: Open 24 hours Saturday: Open 24 hours Sunday: Open 24 hours ,http://www.crisiscenterbillings.org/
3447,Community Crisis Center,,,IL,60121.0,Rapid Re-Housing,Monday: 9:00AM–8:00PM Tuesday: 9:00AM–8:00PM Wednesday: 9:00AM–8:00PM Thursday: 9:00AM–8:00PM Friday: 9:00AM–8:00PM Saturday: 9:00AM–8:00PM Sunday: 9:00AM–8:00PM ,http://crisiscenter.org/
3448,Community Crisis Services Inc.,4316 Farragut St,Hyattsville,MD,20781.0,"Emergency Shelter, Rapid Re-Housing",,
3450,Community Dream Center,700 Commerce Ct,Martinsville,VA,24112.0,Emergency Shelter,,
3451,Community Enhancement Corporation,1700 Ne 4Th St,Oklahoma City,OK,73117.0,Permanent Supportive Housing,,
3452,Community Enrichment Center,3500 Noble Ave,Fort Worth,TX,76111.0,Rapid Re-Housing,,
3453,Community Enrichment Center,,,TX,76180.0,Rapid Re-Housing,Monday: 8:30AM–5:30PM Tuesday: 8:30AM–5:30PM Wednesday: 8:30AM–5:30PM Thursday: 8:30AM–5:30PM Friday: 8:30AM–5:00PM Saturday: Closed Sunday: Closed ,https://cechope.org/
3454,Community Family Life Services,4860 Fort Totten Dr Ne,Washington,DC,20011.0,Other Permanent Housing,,
3455,Community Family Life Services,504 3Rd St Nw,Washington,DC,20001.0,Transitional Housing,,
3456,Community Health Center,1221 Leeser Ave,Akron,OH,44314.0,Permanent Supportive Housing,,
3457,Community Health Center,3386 Charles St,Cuyahoga Fls,OH,44221.0,Permanent Supportive Housing,,
3458,Community Health Center,3447 Hudson Dr,Cuyahoga Fls,OH,44221.0,Permanent Supportive Housing,,
3459,Community Health Center,3457 Hudson Dr,Cuyahoga Fls,OH,44221.0,Permanent Supportive Housing,,
3460,Community Health Center,4231 Wyoga Lake Rd,Stow,OH,44224.0,Permanent Supportive Housing,,
3461,Community Health Center,4237 Wyoga Lake Rd,Stow,OH,44224.0,Permanent Supportive Housing,,
3462,Community Health Center,469 Sandhurst Rd,Akron,OH,44333.0,Permanent Supportive Housing,,
3463,Community Health Center,680 E Market St Ste 307,Akron,OH,44304.0,"Transitional Housing, Permanent Supportive Housing",,https://www.ecommunity.com/
3464,Community Health Center,697 E Waterloo Rd,Akron,OH,44306.0,Permanent Supportive Housing,,https://www.ecommunity.com/
3465,Community Health Center,838 Coburn St,Akron,OH,44311.0,Transitional Housing,,http://www.commhealthcenter.org/womens-recovery-program/
3466,Community Health Center of Burlington,111 Shelburne Road,Burlington,VT,5401.0,Emergency Shelter,,
3467,Community Health Center of Burlington,1200 Shelburne Rd,S Burlington,VT,5403.0,"Other Permanent Housing, Permanent Supportive Housing",,
3468,Community Health Center of Burlington,184 S Winooski Ave,Burlington,VT,5401.0,Permanent Supportive Housing,"Monday: 8:00AM–4:00PM Tuesday: 8:00AM–4:00PM Wednesday: 8:00AM–4:00PM Thursday: 8:00AM–12:00PM, 1:00–4:00PM Friday: 8:00AM–4:00PM Saturday: Closed Sunday: Closed ",https://www.chcb.org/locations/safe-harbor/
3469,Community Health Center of Burlington,,,VT,5401.0,Permanent Supportive Housing,,
3470,Community Health Resources,487 Center St,Manchester,CT,6040.0,Permanent Supportive Housing,Monday: 8:00AM–7:00PM Tuesday: 8:00AM–7:00PM Wednesday: 8:00AM–5:00PM Thursday: 8:00AM–5:00PM Friday: Closed Saturday: Closed Sunday: Closed ,http://www.chrhealth.org/
3471,Community Health Resources,59-61 Wolcott St,Bristol,CT,6010.0,Rapid Re-Housing,,
3472,Community Health Resources,,,CT,6101.0,"Permanent Supportive Housing, Rapid Re-Housing",Monday: 8:00AM–5:00PM Tuesday: 8:00AM–5:00PM Wednesday: 8:00AM–5:00PM Thursday: 8:00AM–5:00PM Friday: 8:00AM–5:00PM Saturday: Closed Sunday: Closed ,http://www.chrhealth.org/
3473,Community Health of East TN,Po Box 209,Jacksboro,TN,37757.0,Emergency Shelter,,
3474,Community Health of South Dade (CHI),10300 Sw 216Th St,Cutler Bay,FL,33190.0,Permanent Supportive Housing,Monday: 8:30AM–5:00PM Tuesday: 8:30AM–5:00PM Wednesday: 8:30AM–5:00PM Thursday: 8:30AM–5:00PM Friday: 8:30AM–5:00PM Saturday: Closed Sunday: Closed ,https://chisouthfl.org/doris-ison-health-center/
3475,Community Healthcore,107 Woodbine Pl,Longview,TX,75601.0,Rapid Re-Housing,Monday: 8:00AM–5:00PM Tuesday: 8:00AM–5:00PM Wednesday: 8:00AM–5:00PM Thursday: 8:00AM–5:00PM Friday: 8:00AM–5:00PM Saturday: Closed Sunday: Closed ,http://www.communityhealthcore.com/
3476,Community Healthcore,,,TX,75601.0,Rapid Re-Housing,,
3477,Community Healthlink,19 King St,Worcester,MA,1610.0,Permanent Supportive Housing,,
3478,Community Healthlink,38 Oak Ave,Worcester,MA,1605.0,Permanent Supportive Housing,,
3479,Community Healthlink,62 Elm St,Worcester,MA,1609.0,Other Permanent Housing,,
3480,Community Healthlink,72 Jacques Ave,Worcester,MA,1610.0,Permanent Supportive Housing,,http://www.communityhealthlink.org/
3481,Community Healthlink,72 Jaques Ave,Worcester,MA,1610.0,Permanent Supportive Housing,,http://www.communityhealthlink.org/
3482,Community Healthlink,80 Merrick St,Worcester,MA,1609.0,Short Term Housing,,
3483,Community Healthlink,9 Chadwick St,Worcester,MA,1605.0,Transitional Housing,,
3484,Community Healthlink,92 Jaques Ave,Worcester,MA,1610.0,Transitional Housing,,http://www.communityhealthlink.org/
3485,Community Homeless Solutions,111 W Alisal St,Salinas,CA,93901.0,Emergency Shelter,,
3486,Community Homeless Solutions,1161 San Felipe Rd,Hollister,CA,95023.0,Emergency Shelter,Monday: 8:00AM–3:00PM Tuesday: 8:00AM–3:00PM Wednesday: 8:00AM–3:00PM Thursday: 8:00AM–3:00PM Friday: 8:00AM–3:00PM Saturday: 8:00AM–3:00PM Sunday: 8:00AM–3:00PM ,https://www.communityhomelesssolutions.org/hrc
3487,Community Homeless Solutions,1324 Natividad Rd,Salinas,CA,93906.0,Emergency Shelter,,
3488,Community Homeless Solutions,3050 Lexington Ct,Marina,CA,93933.0,Emergency Shelter,Monday: 9:00AM–5:00PM Tuesday: 9:00AM–5:00PM Wednesday: 9:00AM–5:00PM Thursday: 9:00AM–5:00PM Friday: 9:00AM–5:00PM Saturday: Closed Sunday: Closed ,http://www.communityhomelesssolutions.org/
3489,Community Homeless Solutions,3087 Whittenmeyer Ct,Monterey,CA,93933.0,Transitional Housing,Monday: 9:00AM–5:00PM Tuesday: 9:00AM–5:00PM Wednesday: 9:00AM–5:00PM Thursday: 9:00AM–5:00PM Friday: 9:00AM–5:00PM Saturday: Closed Sunday: Closed ,http://www.communityhomelesssolutions.org/
3491,Community Homeless Solutions,780 Hamilton Ave,Seaside,CA,93955.0,Emergency Shelter,,
3492,Community Hope,151 Knollcroft Rd,Lyons,NJ,7939.0,Transitional Housing,,
3493,Community Hope,959 Route 46 East,Parsippany,NJ,7054.0,Rapid Re-Housing,,
3494,Community Hope,,Elizabeth,NJ,7201.0,Rapid Re-Housing,,
3495,Community Hope,,,NJ,8601.0,Rapid Re-Housing,Monday: Open 24 hours Tuesday: Open 24 hours Wednesday: Open 24 hours Thursday: Open 24 hours Friday: Open 24 hours Saturday: Open 24 hours Sunday: Open 24 hours ,https://www.communityhope-nj.org/
3496,Community House on Broadway,1107 Broadway,Longview,WA,98632.0,"Rapid Re-Housing, Emergency Shelter",Monday: 5:00AM–10:00PM Tuesday: 5:00AM–10:00PM Wednesday: 5:00AM–10:00PM Thursday: 5:00AM–10:00PM Friday: 5:00AM–10:00PM Saturday: 5:00AM–10:00PM Sunday: 5:00AM–10:00PM ,https://www.choblv.org/
3497,Community Housing Associates,2918B Glenmore Ave,Baltimore,MD,21214.0,Permanent Supportive Housing,Monday: 8:00AM–3:00PM Tuesday: 8:00AM–3:00PM Wednesday: 8:00AM–3:00PM Thursday: 8:00AM–3:00PM Friday: Closed Saturday: Closed Sunday: Closed ,https://community-housing-associates.business.site/?utm_source=gmb&utm_medium=referral
3498,Community Housing Initiatives (CHI),,,IA,50703.0,Permanent Supportive Housing,,
3499,Community Housing Innovations,11 Brentwood Pkwy,Brentwood,NY,11717.0,Emergency Shelter,,
3500,Community Housing Innovations,15 Koren Ln,Middle Island,NY,11953.0,Emergency Shelter,,
3501,Community Housing Innovations,157 E 3Rd St,S Huntington,NY,11746.0,Transitional Housing,,
3502,Community Housing Innovations,1746 N Thompson Dr,Bay Shore,NY,11706.0,Transitional Housing,,
3503,Community Housing Innovations,1748 N Thompson Dr,Bay Shore,NY,11706.0,Transitional Housing,,
3504,Community Housing Innovations,1750 N. Thompson Drive,Bay Shore,NY,11706.0,Emergency Shelter,,
3505,Community Housing Innovations,179 Blue Point Rd,Selden,NY,11784.0,Emergency Shelter,,
3506,Community Housing Innovations,18 Edwards Rd,Mastic Beach,NY,11951.0,Emergency Shelter,,
3507,Community Housing Innovations,192 Cornell St,Hempstead,NY,11550.0,Emergency Shelter,,
3508,Community Housing Innovations,196 Cornell St,Hempstead,NY,11550.0,Emergency Shelter,,
3509,Community Housing Innovations,2 Highland Place,Bay Shore,NY,11738.0,Emergency Shelter,,
3510,Community Housing Innovations,2 Linden Ln,Hyde Park,NY,12538.0,Emergency Shelter,Monday: Open 24 hours Tuesday: Open 24 hours Wednesday: Open 24 hours Thursday: Open 24 hours Friday: Open 24 hours Saturday: Open 24 hours Sunday: Open 24 hours ,
3511,Community Housing Innovations,2 Marie Ln,Coram,NY,11727.0,Transitional Housing,,
3512,Community Housing Innovations,21 Old Quogue Rd,Riverhead,NY,11901.0,Transitional Housing,,
3513,Community Housing Innovations,213 North Hamilton Street,Poughkeepsie,NY,12601.0,Emergency Shelter,,
3514,Community Housing Innovations,245 Terryville Rd,Port Jeff Sta,NY,11776.0,Transitional Housing,,
3515,Community Housing Innovations,2465 Pond Rd,Ronkonkoma,NY,11779.0,Transitional Housing,,
3516,Community Housing Innovations,250 Fulton Ave,Hempstead,NY,11550.0,Permanent Supportive Housing,,
3517,Community Housing Innovations,275 Saint Johns St,Central Islip,NY,11722.0,Emergency Shelter,,
3518,Community Housing Innovations,3240 Route 112,Medford,NY,11763.0,Emergency Shelter,,
3519,Community Housing Innovations,442 Brook Ave,Bay Shore,NY,11706.0,Transitional Housing,,
3520,Community Housing Innovations,444 Brook Ave,Bay Shore,NY,11706.0,Transitional Housing,,
3521,Community Housing Innovations,446 Brook Ave,Bay Shore,NY,11706.0,Transitional Housing,,
3522,Community Housing Innovations,450 Moreland Rd,Commack,NY,11725.0,Emergency Shelter,,
3523,Community Housing Innovations,456 Jerusalem Ave,Uniondale,NY,11553.0,Emergency Shelter,Monday: 9:00AM–5:00PM Tuesday: 9:00AM–5:00PM Wednesday: 9:00AM–5:00PM Thursday: 9:00AM–5:00PM Friday: 9:00AM–5:00PM Saturday: Closed Sunday: Closed ,https://byrncenter.business.site/?utm_source=gmb&utm_medium=referral
3524,Community Housing Innovations,469 Mill Rd,Coram,NY,11727.0,Emergency Shelter,,
3525,Community Housing Innovations,486 Terryville Rd,Port Jeff Sta,NY,11776.0,Transitional Housing,,
3526,Community Housing Innovations,5 Shearwater Way,Centereach,NY,11720.0,Emergency Shelter,,
3527,Community Housing Innovations,55 Medford Ave,Patchogue,NY,11772.0,Permanent Supportive Housing,Monday: 9:00AM–5:00PM Tuesday: 9:00AM–5:00PM Wednesday: 9:00AM–5:00PM Thursday: 9:00AM–5:00PM Friday: 9:00AM–5:00PM Saturday: Closed Sunday: Closed ,http://www.communityhousing.org/
3528,Community Housing Innovations,55 Medford Ave Unit B,Patchogue,NY,11772.0,Permanent Supportive Housing,Monday: 9:00AM–5:00PM Tuesday: 9:00AM–5:00PM Wednesday: 9:00AM–5:00PM Thursday: 9:00AM–5:00PM Friday: 9:00AM–5:00PM Saturday: Closed Sunday: Closed ,http://www.communityhousing.org/
3529,Community Housing Innovations,5890 Route 25,Wading River,NY,11792.0,Emergency Shelter,,
3530,Community Housing Innovations,624 Roanoke Ave,Riverhead,NY,11901.0,Emergency Shelter,,
3531,Community Housing Innovations,629 W Main St,Riverhead,NY,11901.0,Emergency Shelter,,
3532,Community Housing Innovations,76 Church Ln,Middle Island,NY,11953.0,Emergency Shelter,,
3533,Community Housing Innovations,8 Rose St,Poughkeepsie,NY,12601.0,Emergency Shelter,,
3534,Community Housing Innovations,857 Old Town Rd,Port Jeff Sta,NY,11776.0,Emergency Shelter,,
3535,Community Housing Network,1494 N High St,Columbus,OH,43201.0,Permanent Supportive Housing,,
3536,Community Housing Network,1555 Bryden Rd,Columbus,OH,43205.0,Permanent Supportive Housing,,
3537,Community Housing Network,1662 Harrisburg Pike,Columbus,OH,43223.0,Permanent Supportive Housing,,http://www.chninc.org/
3538,Community Housing Network,1670 Harrisburg Pike,Columbus,OH,43223.0,Permanent Supportive Housing,,http://www.chninc.org/
3539,Community Housing Network,1949 Parsons Ave,Columbus,OH,43207.0,Permanent Supportive Housing,,
3540,Community Housing Network,196 N Rose St,Mount Clemens,MI,48043.0,Permanent Supportive Housing,Monday: 9:00AM–4:00PM Tuesday: 9:00AM–4:00PM Wednesday: 9:00AM–4:00PM Thursday: 9:00AM–4:00PM Friday: 9:00AM–4:00PM Saturday: Closed Sunday: Closed ,http://mca.macombgov.org/
3541,Community Housing Network,196 N Rose St,,MI,48043.0,Permanent Supportive Housing,,https://communityhousingnetwork.org/
3542,Community Housing Network,196 North Rose St,Mount Clemens,MI,48043.0,Permanent Supportive Housing,Monday: 9:00AM–4:00PM Tuesday: 9:00AM–4:00PM Wednesday: 9:00AM–4:00PM Thursday: 9:00AM–4:00PM Friday: 9:00AM–4:00PM Saturday: Closed Sunday: Closed ,http://mca.macombgov.org/
3543,Community Housing Network,3005 E 5Th Ave,Columbus,OH,43219.0,Permanent Supportive Housing,,
3544,Community Housing Network,33 Wilson Ave,Columbus,OH,43205.0,Permanent Supportive Housing,,
3545,Community Housing Network,3720 Sullivant Ave,Columbus,OH,43228.0,Permanent Supportive Housing,,
3546,Community Housing Network,4111 Southpoint Blvd,Columbus,OH,43207.0,Permanent Supportive Housing,Monday: 10:00AM–10:00PM Tuesday: 10:00AM–10:00PM Wednesday: 10:00AM–10:00PM Thursday: 10:00AM–10:00PM Friday: 10:00AM–10:00PM Saturday: 10:00AM–10:00PM Sunday: Closed ,
3547,Community Housing Network,4301 Goldengate Oval,Columbus,OH,43224.0,Permanent Supportive Housing,,
3548,Community Housing Network,540 N Cassady Ave,Columbus,OH,43209.0,Permanent Supportive Housing,,
3549,Community Housing Network,5981 Chatterton Rd,Columbus,OH,43232.0,Permanent Supportive Housing,,
3550,Community Housing Network,749 E Broad St,Columbus,OH,43205.0,Permanent Supportive Housing,,
3551,Community Housing Network,88 N 22Nd St,Columbus,OH,43203.0,Permanent Supportive Housing,,
3552,Community Housing Network,,,MI,48089.0,Permanent Supportive Housing,Monday: 9:00AM–3:00PM Tuesday: 9:00AM–3:00PM Wednesday: 9:00AM–3:00PM Thursday: 9:00AM–3:00PM Friday: Closed Saturday: Closed Sunday: Closed ,http://www.communityhousingnetwork.org/
3553,Community Housing Network,,,OH,43223.0,Permanent Supportive Housing,,http://www.chninc.org/
3554,Community Housing Network Inc,570 Kirts,Troy,MI,48084.0,Rapid Re-Housing,,
3555,Community Housing Network Inc,570 Kirts Blvd,Troy,MI,48084.0,"Other Permanent Housing, Permanent Supportive Housing, Rapid Re-Housing",,
3556,Community Housing Network Inc,570 Kirts Blvd.,Troy,MI,48084.0,Other Permanent Housing,,
3557,"Community Housing Network, Inc.",35425 W Michigan Ave,Wayne,MI,48184.0,Permanent Supportive Housing,,
3558,"Community Housing Partners, Inc.",2410 West Ave,Newport News,VA,23607.0,Other Permanent Housing,,http://www.communityhousingpartners.org/
3559,Community Housing Sonoma County with SCBH,1228 Mcminn Ave,Santa Rosa,CA,95407.0,Permanent Supportive Housing,,
3560,Community Housing Works (CHW),260 N Midway Drive,Escondido,CA,92027.0,Permanent Supportive Housing,,
3561,Community Housing and Shelter Services - CHSS,1128 South 9Th Street,Modesto,CA,95351.0,Transitional Housing,,
3562,Community Housing and Shelter Services - CHSS,6132 South Ave.,Empire,CA,95319.0,Emergency Shelter,,
3563,Community Housing and Shelter Services - CHSS,708 H St,Modesto,CA,95354.0,"Permanent Supportive Housing, Emergency Shelter",Monday: 9:00AM–4:00PM Tuesday: 9:00AM–4:00PM Wednesday: 9:00AM–4:00PM Thursday: 9:00AM–4:00PM Friday: 9:00AM–4:00PM Saturday: Closed Sunday: Closed ,https://www.communityhousingandshelterservices.org/
3564,Community Housing and Shelter Services - CHSS,708 H St Ste B,Modesto,CA,95354.0,"Emergency Shelter, Permanent Supportive Housing",,
3565,Community Housing and Shelter Services - CHSS,"708 River Road, #5",Modesto,CA,95351.0,Rapid Re-Housing,,
3566,Community Housing of Maine,108 Winthrop St,Augusta,ME,4330.0,Permanent Supportive Housing,,
3567,Community Housing of Maine,122 Howe St,Lewiston,ME,4240.0,Transitional Housing,,
3568,Community Housing of Maine,140 Hammond St,Bangor,ME,4401.0,Permanent Supportive Housing,,
3569,Community Housing of Maine,16 Gilman St,Waterville,ME,4901.0,Permanent Supportive Housing,,
3570,Community Housing of Maine,17 Friendship Way,Ellsworth,ME,4605.0,Permanent Supportive Housing,,
3571,Community Housing of Maine,18 Main St,Fairfield,ME,4937.0,Permanent Supportive Housing,,
3572,Community Housing of Maine,19 School St,Ellsworth,ME,4605.0,Permanent Supportive Housing,,
3573,Community Housing of Maine,22 Stone St,Biddeford,ME,4005.0,Permanent Supportive Housing,,
3574,Community Housing of Maine,247 Ohio St,Bangor,ME,4401.0,Permanent Supportive Housing,,
3575,Community Housing of Maine,25 Nye St,Saco,ME,4072.0,"Transitional Housing, Permanent Supportive Housing",,
3576,Community Housing of Maine,253 Saint John St,Portland,ME,4102.0,Permanent Supportive Housing,,
3577,Community Housing of Maine,28 Holly St,Portland,ME,4103.0,Permanent Supportive Housing,,
3578,Community Housing of Maine,482 West St,Biddeford,ME,4005.0,Transitional Housing,,
3579,Community Housing of Maine,51 Pleasant St,Waterville,ME,4901.0,Permanent Supportive Housing,,
3580,Community Housing of Maine,53 4Th St # 55,Bangor,ME,4401.0,Permanent Supportive Housing,,
3581,Community Housing of Maine,53 Charles St,Bangor,ME,4401.0,Permanent Supportive Housing,,
3582,Community Housing of Maine,548 St. John Street,Portland,ME,4101.0,Permanent Supportive Housing,,
3583,Community Housing of Maine,67 Silver St,Waterville,ME,4901.0,Permanent Supportive Housing,,
3584,Community Housing of Maine,7 Butler Street,Sanford,ME,4401.0,Permanent Supportive Housing,,
3585,Community Housing of Maine,7 School St,Waterville,ME,4901.0,Permanent Supportive Housing,,
3586,Community Housing of Maine,730 Lisbon St,Lewiston,ME,4240.0,Permanent Supportive Housing,,
3587,Community Housing of Maine,76 Pier St,Bangor,ME,4401.0,Permanent Supportive Housing,,
3588,Community Housing of Maine,8 Flagg St,Augusta,ME,4330.0,Permanent Supportive Housing,,
3589,Community Housing of Maine,82 Silver St,Waterville,ME,4901.0,Permanent Supportive Housing,,
3590,Community Housing of Maine,84 Court St,Bangor,ME,4011.0,Permanent Supportive Housing,,
3591,Community Housing of Maine,92 High Street,Sanford,ME,4005.0,Permanent Supportive Housing,,
