Organization Name,address1,address2,city,State,zip,ServiceSummary
Genesis Non-Profit Housing Corporation,730 N CENTER CT NW,,GRAND RAPIDS,MI,49544,Permanent Supportive Housing
Genesis Non-Profit Housing Corporation,1138 HERON CT NE,,GRAND RAPIDS,MI,49505,Permanent Supportive Housing
Family Promise,516 CHERRY ST SE,,Grand Rapids,MI,49503,Emergency Shelter
Family Promise,516 CHERRY ST SE,,GRAND RAPIDS,MI,49503,Emergency Shelter
Family Promise,,,Grand Rapids,MI,49503,Emergency Shelter
Dwelling Place,60 DIVISION AVE S,,GRAND RAPIDS,MI,49503,Permanent Supportive Housing
Dwelling Place,323 DIVISION AVE S,,GRAND RAPIDS,MI,49503,Permanent Supportive Housing
Dwelling Place,72 SHELDON BLVD SE,,GRAND RAPIDS,MI,49503,Permanent Supportive Housing
Dwelling Place,310 COMMERCE AVE SW,,GRAND RAPIDS,MI,49503,Permanent Supportive Housing
Dwelling Place,310 COMMERCE AVE SW,,GRAND RAPIDS,MI,49503,Permanent Supportive Housing
Degage Ministries,144 DIVISION AVE S,,GRAND RAPIDS,MI,49503,Emergency Shelter
Degage Ministries,144 DIVISION AVE S,,Grand Rapids,MI,49503,Emergency Shelter
Covenant House,26 Antoine Street SW,,Grand Rapids,MI,49507,Transitional Housing
Community Rebuilders,"1120 Monroe NW, Suite 220",,Grand Rapids,MI,49503,Other Permanent Housing
Community Rebuilders,"1120 Monroe NW, Suite 220",,Grand Rapids,MI,49503,Emergency Shelter
Community Rebuilders,"1120 Monroe NW, Suite 220",,Grand Rapids,MI,49503,Rapid Re-Housing
Arbor Circle,1115 BALL AVE NE,,GRAND RAPIDS,MI,49505,Emergency Shelter
Arrowhead Economic Opportunity Agency,421 SE 13th St,,Grand Rapids,MN,55744,Emergency Shelter
Arrowhead Economic Opportunity Agency,421 SE 13TH ST,,GRAND RAPIDS,MN,55744,Transitional Housing
"Northland Counseling Center, Inc.",102 NE 3RD ST STE 160,,GRAND RAPIDS,MN,55744,Permanent Supportive Housing
"Northland Counseling Center, Inc.",215 SE 2ND AVE,,GRAND RAPIDS,MN,55744,Other Permanent Housing
The Salvation Army,,,GRAND RAPIDS,MN,55744,Rapid Re-Housing
"Northland Counseling Center, Inc.",624 RIVER RD,,GRAND RAPIDS,MN,55744,Other Permanent Housing
"Northland Counseling Center, Inc.",1313 NE 7TH ST,,GRAND RAPIDS,MN,55744,Other Permanent Housing
"Northland Counseling Center, Inc.",412 SE 21st St,,Grand Rapids,MN,55744,Permanent Supportive Housing
Minnesota Assistance Council for Veterans,,,GRAND RAPIDS,MN,55744,Rapid Re-Housing
Kootasca Community Action,201 NW 4TH ST STE 130,,GRAND RAPIDS,MN,55744,Transitional Housing
Kootasca Community Action,201 NW 4TH ST STE 130,,GRAND RAPIDS,MN,55744,Transitional Housing
Grace House of Itasca County,501 SW 1ST AVE,,GRAND RAPIDS,MN,55744,Emergency Shelter
Arrowhead Economic Opportunity Agency,421 SE 13TH ST,,GRAND RAPIDS,MN,55744,Transitional Housing
Genesis Non-Profit Housing Corporation,4041 44TH ST SW,,GRANDVILLE,MI,49418,Permanent Supportive Housing
Chestnut Health Systems,50 NORTHGATE INDUSTRIAL DR,,GRANITE CITY,IL,62040,Transitional Housing
Children's Home and Aid,2133 Johnson Rd,,Granite City,IL,62040,Emergency Shelter
Madison County/Chestnut Health Systems,50 NORTHGATE INDUSTRIAL DR,,GRANITE CITY,IL,62040,Permanent Supportive Housing
Chestnut Health Systems,50 NORTHGATE INDUSTRIAL DR,,GRANITE CITY,IL,62040,Permanent Supportive Housing
Chestnut Health Systems,1218 19TH ST,,GRANITE CITY,IL,62040,Permanent Supportive Housing
Chestnut Health Systems,50 NORTHGATE INDUSTRIAL DR,,GRANITE CITY,IL,62040,Rapid Re-Housing
Chestnut Health Systems,50 Northgate Industrial Dr,,Granite City,IL,62040,Permanent Supportive Housing
Chestnut Health Systems,50 NORTHGATE INDUSTRIAL DR,,GRANITE CITY,IL,62040,Permanent Supportive Housing
Chestnut Health Systems,50 Northgate Industrial Dr,,Granite City,IL,62220,Permanent Supportive Housing
Chestnut Health Systems,50 Northgate Industrial Dr,,GRANITE CITY,IL,62223,Permanent Supportive Housing
Grateful Heart Ministries (Rowan),709 DUNNS MOUNTAIN RD,,GRANITE QRY,NC,28146,Transitional Housing
United Community Action Network (3470) [ROCC],560 NE F St.,,Grants Pass,OR,97526,Emergency Shelter
United Community Action Network (3470) [ROCC],220 NW A St,,Grants Pass,OR,97526,Emergency Shelter
United Community Action Network (3470) [ROCC],540 SW Foundry St.,,Grants Pass,OR,97526,Transitional Housing
United Community Action Network (3470) [ROCC],201 NE 8th St.,,Grants Pass,OR,97526,Transitional Housing
United Community Action Network (3470) [ROCC],314 NW 4th,,Grants Pass,OR,97526,Transitional Housing
United Community Action Network (3470) [ROCC],315 NW D St,,Grants Pass,OR,97526,Transitional Housing
United Community Action Network (3470) [ROCC],1055 SE Clarey Ave,,Grants Pass,OR,97526,Transitional Housing
United Community Action Network (3470) [ROCC],125 NE MANZANITA AVE,,GRANTS PASS,OR,97526,Permanent Supportive Housing
United Community Action Network (3470) [ROCC],201 NE 8TH ST,,GRANTS PASS,OR,97526,Permanent Supportive Housing
United Community Action Network (3470) [ROCC],201 NE 8th St,,Grants Pass,OR,97526,Rapid Re-Housing
United Community Action Network (3470) [ROCC],201 NE 8th St.,,Grants Pass,OR,97526,Rapid Re-Housing
United Community Action Network (3470) [ROCC],201 NE 8th St,,Grants Pass,OR,97526,Rapid Re-Housing
United Community Action Network (3470) [ROCC],201 NE 8th St.,,Grants Pass,OR,97526,Rapid Re-Housing
United Community Action Network (3470) [ROCC],201 NE 8th St.,,Grants Pass,OR,97526,Rapid Re-Housing
Advocates for Mentally Ill Housing,160 Glenbrook Dt.,,Grass Valley,CA,95945,Transitional Housing
The Salvation Army - Grass Valley Corps,10725 Alta St,,Grass Valley,CA,95945,Emergency Shelter
Advocates for Mentally Ill Housing,214 Catherine Ln,,Grass Valley,CA,95945,Permanent Supportive Housing
Advocates for Mentally Ill Housing,212 Washington St,,Grass Valley,CA,95945,Transitional Housing
Foothill House of Hospitality,1262 SUTTON WAY,,GRASS VALLEY,CA,95945,Rapid Re-Housing
Nevada County Behavioral Health,152 St. John's Drive,,Grass Valley,CA,95945,Permanent Supportive Housing
Foothill House of Hospitality,1262 SUTTON WAY,,GRASS VALLEY,CA,95945,Emergency Shelter
"KCEOC, Inc(508)","5448 North US 25E, Suite A",,Gray,KY,40734,Rapid Re-Housing
"KCEOC, Inc(508)","5448 North US 25E, Suite A",,Gray,KY,40734,Rapid Re-Housing
"KCEOC, Inc(508)","5448 North US 25E, Suite B",,Gray,KY,40734,Emergency Shelter
Southeast Gwinnett Coorperative Ministry,55 Industrial Parkway,,Grayson,GA,30017,Emergency Shelter
Great Falls Rescue Mission,317 2nd Ave. South,,Great Falls,MT,59403,Emergency Shelter
Great Falls Rescue Mission,326 2nd Ave. South,,GREAT FALLS,MT,59401,Emergency Shelter
Great Falls Rescue Mission,408 2nd Ave. South,,Great Falls,MT,59403,Emergency Shelter
St. Vincent DePaul,2211 5th Ave. North,,Great Falls,MT,59401,Transitional Housing
Family Promise of Great Falls,1019 CENTRAL AVE,,GREAT FALLS,MT,59401,Transitional Housing
St. Vincent de Paul of Green Bay,1660 CHRISTIANA ST,,Green Bay,WI,54303,Emergency Shelter
NEWCAP Inc.,1381 W MASON ST,,Green Bay,WI,54303,Permanent Supportive Housing
St. Vincent de Paul of Green Bay,1660 CHRISTIANA ST,,GREEN BAY,WI,54303,Emergency Shelter
New Community Shelter Inc,301 MATHER ST,,GREEN BAY,WI,54303,Emergency Shelter
"Freedom House Ministries, Inc. of Green Bay",2997 SAINT ANTHONY DR,,GREEN BAY,WI,54311,Emergency Shelter
Diocese of Green Bay,411 SAINT JOHN ST,,GREEN BAY,WI,54301,Emergency Shelter
Wisconsin Department of Veterans Affairs,2500 Bel Meadow Drive,,Green Bay,WI,54311,Transitional Housing
New Community Shelter Inc,301 MATHER ST,,GREEN BAY,WI,54303,Transitional Housing
The Salvation Army of Green Bay,626 UNION CT,,GREEN BAY,WI,54303,Transitional Housing
New Community Shelter Inc,301 MATHER ST,,GREEN BAY,WI,54303,Transitional Housing
"Freedom House Ministries, Inc. of Green Bay",2997 SAINT ANTHONY DR,,GREEN BAY,WI,54311,Transitional Housing
NEWCAP Inc.,1381 W MASON ST,,GREEN BAY,WI,54303,Permanent Supportive Housing
Brown County Housing Authority,100 N JEFFERSON ST,,GREEN BAY,WI,54301,Permanent Supportive Housing
NEWCAP Inc.,1381 W MASON ST,,Green Bay,WI,54303,Rapid Re-Housing
St. Vincent de Paul of Green Bay,1660 CHRISTIANA ST,,GREEN BAY,WI,54303,Rapid Re-Housing
Diocese of Green Bay,411 SAINT JOHN ST,,GREEN BAY,WI,54301,Rapid Re-Housing
Center for Veterans Issues,201 W WALNUT ST,,GREEN BAY,WI,54303,Rapid Re-Housing
VOAC PG Supportive Housing Org Id,7505 Greenway Center Drive,,Greenbelt,MD,20770,Permanent Supportive Housing
JHP Inc.,6113 Breezewood Court,#204,Greenbelt,MD,20770,Permanent Supportive Housing
"Beyond Homeless, Inc.",309 E FRANKLIN ST,,GREENCASTLE,IN,46135,Emergency Shelter
"ASafeHarborHome, Inc.",818 W Summer St. Suite A,,Greeneville,TN,37743,Rapid Re-Housing
Opportunity House of Greene County,203 N IRISH ST,,GREENEVILLE,TN,37745,Emergency Shelter
Hancock Hope House,35 E PIERSON ST,,GREENFIELD,IN,46140,Emergency Shelter
Dial-Self,,,Greenfield,MA,1301,Permanent Supportive Housing
Dial-Self,196 FEDERAL ST,,GREENFIELD,MA,1301,Permanent Supportive Housing
ServiceNet,128 FEDERAL ST,,GREENFIELD,MA,1301,Emergency Shelter
ServiceNet,60 WELLS ST,,GREENFIELD,MA,1301,Emergency Shelter
New Generation,568 PORTSMOUTH AVE,,GREENLAND,NH,3840,Emergency Shelter
Greensboro Housing Authority,,,Greensboro,NC,27401,Permanent Supportive Housing
Youth Focus,1601 HUFFINE MILL RD,,GREENSBORO,NC,27405,Emergency Shelter
The Servant Center,1312 LEXINGTON AVE,,GREENSBORO,NC,27403,Permanent Supportive Housing
The Servant Center,1312 LEXINGTON AVE,,GREENSBORO,NC,27403,Permanent Supportive Housing
YWCA of Greensboro,1807 E WENDOVER AVE,,GREENSBORO,NC,27405,Emergency Shelter
Youth Focus,309 CONCORD ST,,GREENSBORO,NC,27406,Transitional Housing
The Servant Center,1312 LEXINGTON AVE,,GREENSBORO,NC,27403,Transitional Housing
Youth Focus,"405 Parkway, #A",,Greensboro,NC,27401,Rapid Re-Housing
The Servant Center,1417 Glenwood Avenue,,Greensboro,NC,27403,Rapid Re-Housing
Salvation Army - Greensboro,1311 S. Eugene Street,,Greensboro,NC,27406,Rapid Re-Housing
Salvation Army - Greensboro,1311 S. Eugene Street,,Greensboro,NC,27406,Rapid Re-Housing
Salvation Army - Greensboro,1311 S. Eugene Street,,Greensboro,NC,27406,Rapid Re-Housing
Salvation Army - Greensboro,1311 South Eugene Street,,Greensboro,NC,27406,Rapid Re-Housing
Salvation Army - Greensboro,1311 South Eugene Street,,Greensboro,NC,27406,Permanent Supportive Housing
Salvation Army - Greensboro,1311 S EUGENE ST,,GREENSBORO,NC,27406,Emergency Shelter
Mary's House,520 Guilford Avenue,,Greensboro,NC,27401,Permanent Supportive Housing
Greensboro Urban Ministry,305 W. Lee Street,,Greensboro,NC,27406,Rapid Re-Housing
Mary's House,520 Guilford Avenue,,Greensboro,NC,27401,Permanent Supportive Housing
Greensboro Urban Ministry,305 W. Lee Street,,Greensboro,NC,27406,Emergency Shelter
Greensboro Housing Authority,450 N. Church Street,,Greensboro,NC,27401,Permanent Supportive Housing
Greensboro Urban Ministry,317 N CHURCH ST,,GREENSBORO,NC,27401,Emergency Shelter
Greensburg TLC (Transitional Living Center),9012 S. County Road 225E,,Greensburg,IN,47240,Transitional Housing
"SPHS Connect, Inc.",226 S MAPLE AVE,,GREENSBURG,PA,15601,Permanent Supportive Housing
Westmoreland Community Action,128 E PITTSBURGH ST,,GREENSBURG,PA,15601,Permanent Supportive Housing
Westmoreland Community Action,512 Humphrey Road,,Greensburg,PA,15601,Permanent Supportive Housing
Union Mission of Latrobe Inc.,218 S MAPLE AVE,,GREENSBURG,PA,15601,Permanent Supportive Housing
"SPHS Connect, Inc.",218 south maple ave,,greensburg,PA,15601,Permanent Supportive Housing
"SPHS Connect, Inc.",218 S MAPLE AVE,,GREENSBURG,PA,15601,Emergency Shelter
"SPHS Connect, Inc.",201 S MAPLE AVE,,GREENSBURG,PA,15601,Emergency Shelter
"Embarras River Basin Agency, Inc.",400 W. Pleasant,,Greenup,IL,62428,Transitional Housing
"Embarras River Basin Agency, Inc.",400 W. Pleasant,,Greenup,IL,62428,Emergency Shelter
"Embarras River Basin Agency, Inc.",400 W. Pleasant,,Greenup,IL,62428,Rapid Re-Housing
"Embarras River Basin Agency, Inc.",400 W PLEASANT ST,,GREENUP,IL,62428,Permanent Supportive Housing
"Embarras River Basin Agency, Inc.",400 W PLEASANT ST,,GREENUP,IL,62428,Rapid Re-Housing
EIGHT CAP - Ionia Montcalm CoC (7613),State Street,,Greenville,MI,48838,Rapid Re-Housing
EIGHT CAP - Ionia Montcalm CoC (7613),904 Oak Dr (Turk Lake),,GREENVILLE,MI,48838,Emergency Shelter
WWISCAA,1544 OLD LELAND RD,,GREENVILLE,MS,38701,Rapid Re-Housing
WWISCAA,350 DEBBIE ST,,GREENVILLE,MS,38703,Emergency Shelter
Trillium Health Resources,1708 E ARLINGTON BLVD,,GREENVILLE,NC,27858,Permanent Supportive Housing
Community Crossroads Center (Pitt),207 MANHATTAN AVE,,GREENVILLE,NC,27834,Emergency Shelter
Pitt County Planning,171 W. Fifth Street,,Greenville,NC,27834,Rapid Re-Housing
Greenville Housing Authority (Pitt),1103 BROAD ST,,GREENVILLE,NC,27834,Permanent Supportive Housing
Pitt County Planning,1717 W 5TH ST,,GREENVILLE,NC,27834,Rapid Re-Housing
Greenville Housing Authority (Pitt),207 MANHATTAN AVE,,GREENVILLE,NC,27834,Permanent Supportive Housing
Greenville Housing Authority (Pitt),1103 BROAD ST,,GREENVILLE,NC,27834,Permanent Supportive Housing
Greenville Housing Authority (Pitt),1103 BROAD ST,,GREENVILLE,NC,27834,Permanent Supportive Housing
Greenville Housing Authority (Pitt),1103 Broad Street,,GREENVILLE,NC,27834,Permanent Supportive Housing
Darke MHA,1469 Sweitzer Street,,Greenville,OH,45331,Permanent Supportive Housing
Darke County Domestic Violence Shelter,,,Greenville,OH,45331,Emergency Shelter
Good Samaritan Home,449-451 East Third Street,,Greenville,OH,45331,Emergency Shelter
Fellow Countrymen,26 Agnew Rd,,Greenville,SC,29611,Emergency Shelter
SHARE,254 S PLEASANTBURG DR,,GREENVILLE,SC,29607,Rapid Re-Housing
SHARE,254 S Pleasantburg Dr,,Greenville,SC,29607,Transitional Housing
Salvation Army (Greenville),417 RUTHERFORD ST,,GREENVILLE,SC,29609,Emergency Shelter
PIT Hotel/Motel Provider,135 Edinburgh Ct.,,Greenville,SC,29607,Emergency Shelter
United Housing Connections,135 EDINBURGH CT,,GREENVILLE,SC,29607,Transitional Housing
United Housing Connections,402 N CALHOUN ST,,GREENVILLE,SC,29601,Permanent Supportive Housing
United Housing Connections,408 N CALHOUN ST,,GREENVILLE,SC,29601,Short Term Housing
First Impression of South Carolina,15 Grand Avenue,,Greenville,SC,29607,Emergency Shelter
Alston Wilkes Society,614 Pendleton Street,,Greenville,SC,29601,Transitional Housing
Miracle Hill Ministries,575 W WASHINGTON ST,,GREENVILLE,SC,29601,Emergency Shelter
Band of Brothers,2219 Anderson Road,,Greenville,SC,29611,Emergency Shelter
Homes of Hope,610 PENDLETON ST,,GREENVILLE,SC,29601,Transitional Housing
Salvation Army (Greenville),417 RUTHERFORD ST,,GREENVILLE,SC,29609,Emergency Shelter
Miracle Hill Ministries,11 REGENCY HILL DR,,GREENVILLE,SC,29607,Emergency Shelter
Project Care,218 VIOLA ST,,GREENVILLE,SC,29601,Emergency Shelter
Fellow Countrymen,â€‹26 Agnew Rd.,,Greenville,SC,29611,Transitional Housing
Step By Step Ministry,113 Mason St,,Greenville,SC,29611,Emergency Shelter
Meg's House,835 MAIN ST S,,GREENWOOD,SC,29646,Permanent Supportive Housing
Meg's House,835 MAIN ST S,,GREENWOOD,SC,29646,Permanent Supportive Housing
Pathway House,208 PANOLA AVE,,GREENWOOD,SC,29646,Emergency Shelter
Pathway House,208 PANOLA AVE,,GREENWOOD,SC,29646,Emergency Shelter
Connie Maxwell Children's Home,810 MAXWELL AVE,,GREENWOOD,SC,29646,Transitional Housing
Daily Bread Ministries,511 E. Poinsett St,,Greer,SC,29652,Transitional Housing
My Father's  House,5003 W POWELL BLVD,,GRESHAM,OR,97030,Emergency Shelter
Menominee Indian Tribe,"N2150, Kesaehtahter Rd,",,Gresham,WI,54128,Emergency Shelter
Father Flanagan's Girls and Boys Town of LA,1008 BEHRMAN HWY,,GRETNA,LA,70056,Emergency Shelter
McIntosh Trail CSB,,,Griffin,GA,30224,Permanent Supportive Housing
McIntosh Trail CSB,1001 RHODES LN,,GRIFFIN,GA,30224,Permanent Supportive Housing
Salvation Army (Griffin),329 N 13TH ST,,GRIFFIN,GA,30223,Emergency Shelter
McIntosh Trail CSB,24 ASHFORD WAY,,GRIFFIN,GA,30224,Permanent Supportive Housing
YHDP Connecticut,36 Main Street,,Groton,CT,6340,Transitional Housing
5Cities Homeless Coalition,1935 NEWPORT AVE,,GROVER BEACH,CA,93433,Emergency Shelter
People Inc.,20694 Riverside Dr,,Grundy,VA,24239,Emergency Shelter
Construct,10 STATE RD,,GT BARRINGTON,MA,1230,Permanent Supportive Housing
Construct,41 MAHAIWE ST,,GT BARRINGTON,MA,1230,Permanent Supportive Housing
Construct,41 MAHAIWE ST,,GT BARRINGTON,MA,1230,Transitional Housing
Municipio de Guayama,26 Calle Vicente Pales,,Guayama,PR,784,Permanent Supportive Housing
West County Community Services,16255 First Street,,Guerneville,CA,95446,Emergency Shelter
West County Community Services,16453 Mill St.,,Guerneville,CA,95446,Permanent Supportive Housing
Marshall County Home Place,1221 BLOUNT AVE,,GUNTERSVILLE,AL,35976,Transitional Housing
Marshall County Homeless Ministries,539 GUNTER AVE,,GUNTERSVILLE,AL,35976,Emergency Shelter
NW Domestic Crisis Service Inc,406 S main,,Guymon,OK,73942,Emergency Shelter
Oaks of Mamre,409 N Ellison,,Guymon,OK,73942,Emergency Shelter
East San Gabriel Valley Coalition for the Homeless,1345 Turnbull Canyon Rd.,NULL,Hacienda Heights,CA,91745,Emergency Shelter
East San Gabriel Valley Coalition for the Homeless,1345 Turnbull Canyon Rd.,NULL,Hacienda Heights,CA,91745,Emergency Shelter
Volunteers of America of Los Angeles,1545 S. Stimson Ave.,NULL,Hacienda Heights,CA,91745,Emergency Shelter
Volunteers of America of Los Angeles,1545 S. Stimson Ave.,NULL,Hacienda Heights,CA,91745,Emergency Shelter
Family Guidance,125 ESSEX ST,,HACKENSACK,NJ,7601,Transitional Housing
Bergen County Housing Health and Human Service Center,120 S RIVER ST,,HACKENSACK,NJ,7601,Emergency Shelter
Bergen County Housing Health and Human Service Center,120 S RIVER ST,,HAckensack,NJ,7601,Emergency Shelter
CBHCare,395 MAIN ST,,HACKENSACK,NJ,7601,Transitional Housing
Greater Bergen Community Action,265 STATE ST,,HACKENSACK,NJ,7601,Transitional Housing
Greater Bergen Community Action,261 STATE ST,,HACKENSACK,NJ,7601,Transitional Housing
Greater Bergen Community Action,40 PASSAIC ST,,HACKENSACK,NJ,7601,Transitional Housing
Family Guidance,125 ESSEX ST,,HAckensack,NJ,7608,Transitional Housing
CBHCare,395 MAIN ST,,HACKENSACK,NJ,7601,Transitional Housing
Elim Pacific Ministries,556 E MARINE CORPS DR,,HAGATNA,GU,96910,Permanent Supportive Housing
Salvation Army,534 W FRANKLIN ST,,HAGERSTOWN,MD,21740,Emergency Shelter
REACH Inc,140 W. Franklin St.,Ste. 300,Hagerstown,MD,21740,Emergency Shelter
Way Station,25 E NORTH AVE,,HAGERSTOWN,MD,21740,Transitional Housing
Community Action Council,614-616 W. Washington Street,,Hagerstown,MD,21740,Emergency Shelter
"Women and Youth Center, Inc.",20 North 6th Street,,Haines City,FL,33845,Transitional Housing
Legacy Treatment Services,1289 ROUTE 38 STE 102,,HAINESPORT,NJ,8036,Permanent Supportive Housing
Legacy Treatment Services,1289 ROUTE 38 STE 102,,HAINESPORT,NJ,8036,Permanent Supportive Housing
Northwest Alabama Mental Health Center,71 CARRAWAY DR,,HALEYVILLE,AL,35565,Transitional Housing
Advance Housing,17 WISHING WELL RD,,HAMBURG,NJ,7419,Permanent Supportive Housing
Leeway Inc.,451 Putnam Avenue,,Hamden,CT,6517,Permanent Supportive Housing
"New Reach, Inc.",119 SANFORD ST,,HAMDEN,CT,6514,Permanent Supportive Housing
New Horizons Community Service Board,58 KAITLYN CT,,HAMILTON,GA,31811,Permanent Supportive Housing
"Family Shelter of the Bitterroot, Inc.",290 Fairgrounds Road,,Hamilton,MT,59840,Emergency Shelter
Catholic Charities MBHS,41 STEINERT AVE,,HAMILTON,NJ,8619,Permanent Supportive Housing
Butler - Family Promise,PO Box 95,,Hamilton,OH,45012,Emergency Shelter
YWCA of Butler County,,,Hamilton,OH,45011,Emergency Shelter
Butler County Board of Commissioners,332 Dayton St.,,Hamilton,OH,45013,Permanent Supportive Housing
Butler Haven House,550 High Street,,Hamilton,OH,45011,Emergency Shelter
Serve City Inc.,622 East Ave,,Hamilton,OH,45011,Emergency Shelter
Outreach for Jesus Dream Center,440 Battley Dairy Road,,Hamlet,NC,28345,Transitional Housing
Greater Hammond Community Srvs,Scattered Site,,Hammond,IN,46324,Rapid Re-Housing
City Rescue Mission,523 SIBLEY ST,,HAMMOND,IN,46320,Emergency Shelter
"Innermission, Inc.",5515 CLAUDE AVE,,HAMMOND,IN,46320,Emergency Shelter
Hammond Housing Authority,411 W COLEMAN AVE,,HAMMOND,LA,70403,Permanent Supportive Housing
Quad Area CAA,12057 SALLIE KINCHEN RD,,HAMMOND,LA,70401,Transitional Housing
People First,14 HEGGAN LN,,HAMMONTON,NJ,8060,Emergency Shelter
HELP,329 Buckroe Ave.,,Hampton,VA,23664,Emergency Shelter
Hampton Department of Human Services,,,Hampton,VA,23669,Rapid Re-Housing
LINK of Hampton Roads,1115 East Pembroke Avenue #1,,Hampton,VA,23669,Permanent Supportive Housing
LINK of Hampton Roads,2121 Kecoughtan Road,,Hampton,VA,23661,Permanent Supportive Housing
Hampton VAMC,100 EMANCIPATION DR,,HAMPTON,VA,23667,Permanent Supportive Housing
Hampton VA Medical Center,100 EMANCIPATION DR,,HAMPTON,VA,23667,Permanent Supportive Housing
Catholic Charities,124 PONQUOGUE AVE,,HAMPTON BAYS,NY,11946,Permanent Supportive Housing
Opportunities for Delaware,35430 state highway 10,,Hamton,NY,13782,Rapid Re-Housing
Kings County Housing Authority,670 S Irwin,,Hanford,CA,93230,Permanent Supportive Housing
Kings County Housing Authority,670 S Irwin,,Hanford,CA,93230,Permanent Supportive Housing
Westcare,410 E 7TH ST STE 9,,HANFORD,CA,93230,Rapid Re-Housing
Kings Gospel Mission,801 W 7th Street,,Hanford,CA,93230,Emergency Shelter
Kings County Human Services Agency,1400 W. Lacey Blvd,,Hanford,CA,93230,Emergency Shelter
Kings County Human Services Agency,1400 W. Lacey Blvd,,Hanford,CA,93230,Rapid Re-Housing
Kings County Human Services Agency,1400 W. Lacey Blvd,,Hanford,CA,93230,Rapid Re-Housing
Kings Gospel Mission,805 W 7TH ST,,HANFORD,CA,93230,Emergency Shelter
Kings Gospel Mission,801 W 7th Street,,HANFORD,CA,93230,Transitional Housing
Kings Community Action Organization,323 E 11TH ST,,HANFORD,CA,93230,Permanent Supportive Housing
Kings Community Action Organization,1130 N 11TH AVE,,HANFORD,CA,93230,Permanent Supportive Housing
Kings Community Action Organization,1130 N 11TH AVE,,HANFORD,CA,93230,Permanent Supportive Housing
Kings Community Action Organization,1130 N 11TH AVE,,HANFORD,CA,93230,Emergency Shelter
Wellspan Health,337 Frederick Street,,Hanover,PA,17331,Emergency Shelter
Hanover Area Council of Churches,136 CARLISLE ST,,HANOVER,PA,17331,Emergency Shelter
Moments of Hope,13400 Hanover Courthouse Rd.,,Hanover,VA,23069,Emergency Shelter
DuPage County Community Services,,,Hanover Park,IL,60133,Rapid Re-Housing
Hope Shelter Inc. (The),4231 OLD DIXIE HWY,,HAPEVILLE,GA,30354,Emergency Shelter
Casa de Los Angelitos,954 Koleeta Dr.,NULL,Harbor City,CA,90710,Transitional Housing
Harlan County Community Action Agency (CVADD),319 Camden St,,Harlan,KY,40831,Rapid Re-Housing
Harlan County Community Action Agency (CVADD),319 Camden Street,,Harlan,KY,40831,Permanent Supportive Housing
Christ's Hands Emergency Shelter,112 Railroad St.,,Harlan,KY,40831,Emergency Shelter
Loaves & Fishes,514 South East St,,Harlingen,TX,78550,Emergency Shelter
Christian Community Compassion Center,632 N JACKSON ST,,HARRISBURG,IL,62946,Emergency Shelter
YWCA of Greater Harrisburg,1101 Market Street,,Harrisburg,PA,17103,Transitional Housing
Valley Youth House,1625 North Front Street,,Harrisburg,PA,17102,Transitional Housing
YWCA of Greater Harrisburg,1101 Market Street,,Harrisburg,PA,17103,Emergency Shelter
Bethesda Mission,1050-A Goodwill DrIVE,,HARRISBURG,PA,17101,Transitional Housing
Bethesda Mission,611 REILY ST,,HARRISBURG,PA,17102,Emergency Shelter
YWCA of Greater Harrisburg,1101 Market Street,,Harrisburg,PA,17103,Transitional Housing
YWCA of Greater Harrisburg,1101 Market Street,,Harrisburg,PA,17103,Rapid Re-Housing
YWCA of Greater Harrisburg,1101 Market Street,,Harrisburg,PA,17104,Rapid Re-Housing
Christian Churches United,1805 N 12TH ST,,HARRISBURG,PA,17103,Short Term Housing
YWCA of Greater Harrisburg,701 N FRONT ST,,HARRISBURG,PA,17101,Transitional Housing
YWCA of Greater Harrisburg,701 N FRONT ST,,HARRISBURG,PA,17101,Transitional Housing
Christian Churches United,413 S 19th St,,Harrisburg,PA,17104,Rapid Re-Housing
YWCA of Greater Harrisburg,1101 MARKET ST,,HARRISBURG,PA,17103,Other Permanent Housing
YWCA of Greater Harrisburg,1101 MARKET ST,,HARRISBURG,PA,17103,Other Permanent Housing
YWCA of Greater Harrisburg,1101 MARKET ST,,HARRISBURG,PA,17103,Permanent Supportive Housing
YWCA of Greater Harrisburg,1101 MARKET ST,,HARRISBURG,PA,17103,Permanent Supportive Housing
YWCA of Greater Harrisburg,1101 MARKET ST,,HARRISBURG,PA,17103,Permanent Supportive Housing
YWCA of Greater Harrisburg,1101 MARKET ST,,HARRISBURG,PA,17103,Rapid Re-Housing
YWCA of Greater Harrisburg,1101 MARKET ST,,HARRISBURG,PA,17103,Emergency Shelter
YWCA of Greater Harrisburg,1101 MARKET ST,,HARRISBURG,PA,17103,Transitional Housing
Volunteers of America,2112 Walnut Street,,HARRISBURG,PA,17103,Rapid Re-Housing
Shalom House,9 S 15TH ST,,HARRISBURG,PA,17104,Permanent Supportive Housing
Shalom House,9 S 15TH ST,,HARRISBURG,PA,17104,Emergency Shelter
DELTA Community Inc.,2041 N 2ND ST,,HARRISBURG,PA,17102,Permanent Supportive Housing
DELTA Community Inc.,1625 North Front Street,,Harrisburg,PA,17102,Rapid Re-Housing
Christian Churches United,413 S 19th St,,Harrisburg,PA,17104,Rapid Re-Housing
Christian Churches United,413 S 19th St,,Harrisburg,PA,17104,Rapid Re-Housing
